VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,22
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,23
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,22
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,22
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,22
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,22
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,22
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,22
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,22
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,21
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,19
348,1290,430,19839,21
348,1290,430,19839,21
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,20
348,1290,430,19839,19
348,1290,430,19839,21
