VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,38
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,38
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,39
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,34
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,38
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,38
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,34
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,38
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,34
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,37
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,37
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,36
300,978,326,35472,35
300,978,326,35472,35
300,978,326,35472,36
