VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,19
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,18
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,18
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,18
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,18
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,17
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,18
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,17
308,1086,362,15745,16
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
308,1086,362,15745,16
308,1086,362,15745,15
