VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,7
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
52,150,50,5438,5
52,150,50,5438,6
52,150,50,5438,5
