VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,3
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,3
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,2
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
72,228,76,1100,1
