VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,25
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,25
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,25
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,25
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,31
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,25
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,25
380,1353,451,23463,25
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,23
380,1353,451,23463,24
380,1353,451,23463,23
380,1353,451,23463,24
